"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000000082011,000000829101,2,180,,,,
000000082950,000000082011,2,180,,,,
000000083003,000000083900,2,120,,,,
000000083003,090000839000,2,120,,,,
000000083003,090000839001,2,120,,,,
000000083027,000000083950,2,120,,,,
000000083027,000000839102,2,300,,,,
000000083027,000000839103,2,300,,,,
000000083039,000000086962,2,420,,,,
000000083900,000000083003,2,120,,,,
000000083950,000000083027,2,120,,,,
000000083960,000000083013,2,180,,,,
000000084002,000000084079,2,240,,,,
000000084002,000000084951,2,180,,,,
000000084002,000000849102,2,180,,,,
000000084002,000000849103,2,180,,,,
000000084004,000000084950,2,240,,,,
000000084005,000000084903,2,120,,,,
000000084007,000000084902,2,120,,,,
000000084007,090000849004,2,120,,,,
000000084007,090000849005,2,120,,,,
000000084021,000000084900,2,120,,,,
000000084023,000000083901,2,540,,,,
000000084030,000000084953,2,240,,,,
000000084048,000000084950,2,240,,,,
000000084048,090000849010,2,120,,,,
000000084048,090000849011,2,120,,,,
000000084079,000000084002,2,240,,,,
000000084079,000000084951,2,300,,,,
000000084079,000000849102,2,300,,,,
000000084079,000000849103,2,300,,,,
000000084900,000000084021,2,120,,,,
000000084902,000000084007,2,120,,,,
000000084903,000000084005,2,120,,,,
000000084950,000000084004,2,240,,,,
000000084950,000000084048,2,240,,,,
000000084951,000000084002,2,180,,,,
000000084951,000000084079,2,300,,,,
000000084953,000000084030,2,240,,,,
000000084953,000000021000,2,240,,,,
000000085010,000000085950,2,120,,,,
000000085950,000000085010,2,120,,,,
000000086006,000000086961,2,120,,,,
000000086007,000000086960,2,240,,,,
000000086015,000000086961,2,240,,,,
000000086025,000000086961,2,900,,,,
000000086027,000000086960,2,420,,,,
000000086960,000000086007,2,240,,,,
000000086961,000000086006,2,120,,,,
000000086961,000000086015,2,240,,,,
000000086961,000000086025,2,900,,,,
000000090001,000000090905,2,120,,,,
000000090001,090000909010,2,120,,,,
000000090001,090000909011,2,120,,,,
000000090002,000000090907,2,120,,,,
000000090002,090000909016,2,180,,,,
000000090002,090000909017,2,180,,,,
000000090006,000000090904,2,120,,,,
